a,NESSUS Plugin,Asuria Name,Qualis ID,Acunetix ID,Scuba ID,Paginas de ejemplo de XAMPP,Descripción,Solución,Workaround,Categoría,Efecto,Prioridad,CVSS,Plataforma,Subplataforma,CVE,Referencias,Exploit,Estado,Patrones,Revisada,Severidad,
,11042,,,,,Apache Tomcat < 4.1.3,La versión de Apache Tomcat en el servidor remoto es vulnerable a  ataques XSS (cross site scripting) permitiendo acceso a información sensible.,"Actualizar a Apache Tomcat v4.1.3 beta o posterior.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado.",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),Apache Tomcat,,,,,,,,,
,11138,,,,,Citrix Enumeración de aplicaciónes publicadas,El servicio Citrix en un sistema remoto permite enumerar las aplicaciones publicadas a través del servicio afectado.,"Validar la configuración de seguridad, permisos y privilegios generales del servicio Citrix. ",,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Citrix,,,"http://sh0dan.org/oldfiles/hackingcitrix.html
http://archives.neohapsis.com/archives/bugtraq/2002-09/0330.html",,Por Validar,,,,
,11185,,,,,Servidor FTP Genérico Volcado de memoria,Según el banner del servicio FTP el sistema remoto tiene una versión de VxWorks ftpd entre la 5.4 y 5.4.2, dicha versión  es afectada por un problema de volcado de memoria que puede ser disparado por el comando 'CEL'.,"Si el sistema remoto es una forma de producto con VxWorks, contactar al fabricante y referir el parche WindRiver TSR 296292. Si es sistema es un 3Com NBX IP Phone call manager, la única manera que conocida para evitar un ataque de denegación de servicio contra el sistema es colocarlo detrás de su propio firewall y contactar a 3Com para saber de nuevas versiones o actualizaciones.",,Falta actualización de Sistema Operativo,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),VxWorks,,CVE-2002-2300,"http://www.secnap.net/security/nbx001.html
http://archives.neohapsis.com/archives/bugtraq/2003-04/0340.html",,,,,
,11197,,,,,Driver Ethernet Acceso a información sensible,"El sistema remoto es vulnerable a Etherleak, esto significa que el driver ethernet rebela bits con el contenido de la memoria del sistema operativo.","Utilizar cifrado a modo de workaround, mientras se contacta al fabricante para obtener un parche o solución.",,Falta  de actualización de aplicación,,Baja,Baja / CVSS Base Score : 3.3 (CVSS2#AV:A/AC:L/Au:N/C:P/I:N/A:N),General,,CVE-2003-0001,,,Por Validar,,,,
,11213,,,,,Servidor WEB Genérico Funciones de debug habilitadas,"El servidor remoto tiene los métodos HTTP TRACE y/o TRACK habilitados, estos métodos son utilizados para realizar depuración de las conexiones al servidor. Estos métodos pueden ser aprovechados por un atacante para realizar una ejecución cruzada de código.",Consultar al fabricante y deshabilitar los métodos no requeridos en el servidor WEB.,,Configuración por defecto,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),General,,CVE-2004-2320,,,Por Validar,,02/04/2009,,
,11213,,,,,Servidor WEB Genérico Funciones de debug habilitadas,"El servidor remoto tiene los métodos HTTP TRACE y/o TRACK habilitados, estos métodos son utilizados para realizar depuración de las conexiones al servidor. Estos métodos pueden ser aprovechados por un atacante para realizar una ejecución cruzada de código","En el archivo de configuración httpd.conf o equivalente, establecer para cada virtual host la configuración, o en el cuerpo de la configuración general según convenga:

RewriteEngine On 
RewriteCond %{REQUEST_METHOD} ^TRACE 
RewriteRule .* - [F] 

O para versiones posteriores a  Apache 1.3.34 o 2.0.55 establecer el parámetro:

TraceEnable off",,Configuración por defecto,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),"Apache HTTPD
IBM HTTP Server",,CVE-2004-2320,"Apache HTTPD

IBM
HTTP Server http://publib.boulder.ibm.com/httpserv/ihsdiag/http_trace.html",,Por Validar,,02/04/2009,,
,11213,,,,,Servidor WEB Genérico Funciones de debug habilitadas,"El servidor remoto tiene los métodos HTTP TRACE y/o TRACK habilitados, estos métodos son utilizados para realizar depuración de las conexiones al servidor. Estos métodos pueden ser aprovechados por un atacante para realizar una ejecución cruzada de código","En el archivo de configuración $TOMCAT/conf/server.xml establecer en el elemento <connector> el atributo allowTrace=""false""",,Configuración por defecto,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),Apache Tomcat,,CVE-2004-2320,"Apache Tomcat
http://tomcat.apache.org/tomcat-5.5-doc/config/http.html
",,Por Validar,,02/04/2009,,
,11213,,,,,Servidor WEB Genérico Funciones de debug habilitadas,"El servidor remoto tiene los métodos HTTP TRACE y/o TRACK habilitados, estos métodos son utilizados para realizar depuración de las conexiones al servidor. Estos métodos pueden ser aprovechados por un atacante para realizar una ejecución cruzada de código",Establecer el valor de la llave HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\W3SVC\Parameters\EnableTraceMethod  en 0 y establecer con la herramienta URLScan los métodos permitidos.,,Configuración por defecto,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),Microsoft IIS,,CVE-2004-2320,"IIS
http://www.microsoft.com/technet/prodtechnol/WindowsServer2003/Library/IIS/d779ee4e-5cd1-4159-b098-66c10c5a3314.mspx?mfr=true
http://technet.microsoft.com/en-us/security/cc242650.aspx",,Por Validar,,02/04/2009,,
,11229,,,,,PHPInfo,"El sistema remoto publica una página generada por la función phpinfo(), esta página contiene información sensible referente a la configuración del sistema.","Validar el uso de la página, si no es necesaria eliminarla, si es necesaria entonces establecer un control de acceso a ella y filtrar las peticiones entrantes al puerto.",,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),PHP,,,,,Por Validar,,,,
,11267,,,,,OpenSSL < 0.9.6j o 0.9.7,"La versión de OpenSSL utilizada en el sistema remoto es inferior a 0.9.6j o 0.9.7, esta versión es vulnerable a un ataque de tiempo en que uno puede llegar a adivinar el contenido de un paquete de datos y eventualmente obtener la llave de cifrado RSA del servidor, obteniendo así la capacidad de realizar un ataque de hombre en medio y escuchar la transmisión cifrada que se suscita entre un cliente y el servidor.","Actualizar a OpenSSL 0.9.8k.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de  actualización de aplicación,,Media,Media / CVSS Base Score : 4.3 (VSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N),OpenSSL,,CVE-2003-0078 CVE-2003-0131 CVE-2003-0147,"http://www.openssl.org/news/secadv_20030219.txt
http://lasecwww.epfl.ch/memo_ssl.shtml
http://eprint.iacr.org/2003/052/",,Por Validar,,,,
